cant_ejes, ns_rutas_completas, ns_rutas_vacias, ns_rutas_esparso_conexo, ns_rutas_esparso_disconexo, ns_rutas_denso_conexo, ns_rutas_denso_disconexo
418, 152541962, 136350259, 139484739, 122685555, 140040817, 154997944
419, 154074198, 124820631, 143115888, 115363761, 159092565, 154826533
420, 152340168, 135153926, 123602272, 121314762, 159310637, 143466962
421, 158979166, 147105917, 135771334, 115249601, 150582312, 157423629
422, 156198158, 135309889, 130572903, 122983918, 153949928, 175354913
423, 171968893, 146253334, 173903124, 139843483, 173061179, 168345604
424, 177623013, 155535769, 161210538, 131031133, 175225167, 153328552
425, 161304926, 134405780, 145632367, 130681562, 157919853, 172201206
426, 161604557, 140912159, 154276699, 140556469, 173186347, 187957329
427, 180789649, 152683092, 133652636, 136979190, 188223926, 162953304
428, 184629587, 149157468, 141894572, 127790225, 157174561, 180681161
429, 169082084, 132901614, 127361468, 129957364, 148602199, 170918254
